ubicageo_c,estado,municipio,
1001,Ags., Aguascalientes,
1002,Ags., Asientos,
1003,Ags., Calvillo,
1004,Ags., Cosio,
1005,Ags., Jesus Maria,
1006,Ags., Pabellon De Arteaga,
1007,Ags., Rincon De Romos,
1008,Ags., San Jose De Gracia,
1009,Ags., Tepezala,
1010,Ags., El Llano,
1011,Ags., San Francisco De Los Romo,
2001,BC, Ensenada,
2002,BC, Mexicali,
2003,BC, Tecate,
2004,BC, Tijuana,
2005,BC, Playas De Rosarito,
3001,BCS, Comondu,
3002,BCS, Mulege,
3003,BCS, La Paz,
3008,BCS, Los Cabos,
3009,BCS, Loreto,
4001,Camp., Calkini,
4002,Camp., Campeche,
4003,Camp., Carmen,
4004,Camp., Champoton,
4005,Camp., Hecelchakan,
4006,Camp., Hopelchen,
4007,Camp., Palizada,
4008,Camp., Tenabo,
4009,Camp., Escarcega,
4010,Camp., Calakmul,
4011,Camp., Candelaria,
5001,Coah., Abasolo,
5002,Coah., Acuña,
5003,Coah., Allende,
5004,Coah., Arteaga,
5005,Coah., Candela,
5006,Coah., Castaños,
5007,Coah., Cuatro Cienegas,
5008,Coah., Escobedo,
5009,Coah., Francisco I. Madero,
5010,Coah., Frontera,
5011,Coah., General Cepeda,
5012,Coah., Guerrero,
5013,Coah., Hidalgo,
5014,Coah., Jimenez,
5015,Coah., Juarez,
5016,Coah., Lamadrid,
5017,Coah., Matamoros,
5018,Coah., Monclova,
5019,Coah., Morelos,
5020,Coah., Muzquiz,
5021,Coah., Nadadores,
5022,Coah., Nava,
5023,Coah., Ocampo,
5024,Coah., Parras,
5025,Coah., Piedras Negras,
5026,Coah., Progreso,
5027,Coah., Ramos Arizpe,
5028,Coah., Sabinas,
5029,Coah., Sacramento,
5030,Coah., Saltillo,
5031,Coah., San Buenaventura,
5032,Coah., San Juan De Sabinas,
5033,Coah., San Pedro,
5034,Coah., Sierra Mojada,
5035,Coah., Torreon,
5036,Coah., Viesca,
5037,Coah., Villa Union,
5038,Coah., Zaragoza,
6001,Col., Armeria,
6002,Col., Colima,
6003,Col., Comala,
6004,Col., Coquimatlan,
6005,Col., Cuauhtemoc,
6006,Col., Ixtlahuacan,
6007,Col., Manzanillo,
6008,Col., Minatitlan,
6009,Col., Tecoman,
6010,Col., Villa De Alvarez,
7001,Chis., Acacoyagua,
7002,Chis., Acala,
7003,Chis., Acapetahua,
7004,Chis., Altamirano,
7005,Chis., Amatan,
7006,Chis., Amatenango De La Frontera,
7007,Chis., Amatenango Del Valle,
7008,Chis., Angel Albino Corzo,
7009,Chis., Arriaga,
7010,Chis., Bejucal De Ocampo,
7011,Chis., Bella Vista,
7012,Chis., Berriozabal,
7013,Chis., Bochil,
7014,Chis., El Bosque,
7015,Chis., Cacahoatan,
7016,Chis., Catazaja,
7017,Chis., Cintalapa,
7018,Chis., Coapilla,
7019,Chis., Comitan De Dominguez,
7020,Chis., La Concordia,
7021,Chis., Copainala,
7022,Chis., Chalchihuitan,
7023,Chis., Chamula,
7024,Chis., Chanal,
7025,Chis., Chapultenango,
7026,Chis., Chenalho,
7027,Chis., Chiapa De Corzo,
7028,Chis., Chiapilla,
7029,Chis., Chicoasen,
7030,Chis., Chicomuselo,
7031,Chis., Chilon,
7032,Chis., Escuintla,
7033,Chis., Francisco Leon,
7034,Chis., Frontera Comalapa,
7035,Chis., Frontera Hidalgo,
7036,Chis., La Grandeza,
7037,Chis., Huehuetan,
7038,Chis., Huixtan,
7039,Chis., Huitiupan,
7040,Chis., Huixtla,
7041,Chis., La Independencia,
7042,Chis., Ixhuatan,
7043,Chis., Ixtacomitan,
7044,Chis., Ixtapa,
7045,Chis., Ixtapangajoya,
7046,Chis., Jiquipilas,
7047,Chis., Jitotol,
7048,Chis., Juarez,
7049,Chis., Larrainzar,
7050,Chis., La Libertad,
7051,Chis., Mapastepec,
7052,Chis., Las Margaritas,
7053,Chis., Mazapa De Madero,
7054,Chis., Mazatan,
7055,Chis., Metapa,
7056,Chis., Mitontic,
7057,Chis., Motozintla,
7058,Chis., Nicolas Ruiz,
7059,Chis., Ocosingo,
7060,Chis., Ocotepec,
