Entidad federativa,Población de 18 años y más1,2022,2021,2020,2019,2018,2017,2016,2015
Estados Unidos Mexicanos,  91 356 364,64.9,61.4,66.4,66.3,70.0,66.3,65.1,64.1
Aguascalientes, 1 018 074,52.5,40.6,44.9,49.0,58.7,42.2,40.2,39.7
Baja California, 2 748 407,71.9,63.6,58.5,64.2,71.8,57.9,58.7,54.6
Baja California Sur,  602 924,30.6,28,29.2,46.7,63.6,63.1,46,56.6
Campeche,  673 811,52.2,50.5,42.8,54.9,59.1,59.0,53.3,54.3
Coahuila de Zaragoza, 2 296 412,41.1,37.5,34.7,40.0,49.8,44.6,48.2,61.7
Colima,  547 607,74.4,63.5,57.3,66.6,73.2,69.0,65.8,47.4
Chiapas, 3 600 550,65.9,58.2,59.8,64.6,64.6,62.0,57.2,53.7
Chihuahua, 2 661 681,60.2,57.8,67.7,61.6,68.8,63.5,54.8,61.8
Ciudad de México, 7 449 123,70.2,72.1,73.3,79.8,78.4,76.8,76.2,65.9
Durango, 1 264 061,46.5,45.7,39.2,51.6,50.9,47.5,47.4,57.7
Guanajuato, 4 329 408,80.8,74.6,77.6,81.9,82.7,77.5,64.7,68.0
Guerrero, 2 358 080,61.6,61.5,80.0,68.4,74.0,75.8,75.1,73.2
Hidalgo, 2 228 105,61.2,55,59.9,58.1,61.0,56.5,56.2,58.3
Jalisco, 6 014 731,62.1,57.3,74.0,63.0,64.7,57.1,62.9,59.9
Estado de México, 12 705 488,79.5,75.9,80.4,77.5,81.5,80.7,82.9,80.2
Michoacán de Ocampo, 3 361 549,65.2,58.9,60.9,61.4,65.9,60.9,56.2,62.5
Morelos, 1 449 774,77.8,72,78.3,77.8,77.7,77.0,74.4,77.7
Nayarit,  877 405,43.0,40.1,44.6,42.6,67.6,48.1,40.4,44.6
Nuevo León, 4 443 894,54.0,45.6,49.7,60.3,60.8,55.5,55.7,56.4
Oaxaca, 2 848 793,50.4,49.2,60.7,52.9,58.8,56.1,57.8,57.4
Puebla, 4 637 341,66.8,74.4,75.3,77.9,72.2,63.9,63.9,60.1
Querétaro, 1 731 942,54.5,47.5,43.1,53.6,59.2,52.3,58.7,49.4
Quintana Roo, 1 367 099,72.2,67.8,75.3,73.4,69.8,64.6,57.9,59.1
San Luis Potosí, 1 972 259,68.2,67.5,69.5,64.8,71.9,62.7,58.5,58.2
Sinaloa, 2 180 293,46.3,45.8,51.6,49.9,61.1,63.5,59.4,60.0
Sonora, 2 109 621,66.3,64.3,61.5,54.4,65.7,60.3,54.4,57.9
Tabasco, 1 665 465,78.0,76.5,83.9,87.2,86.6,86.6,84.9,84.8
Tamaulipas, 2 566 924,60.8,55.4,62.3,63.6,73.6,70.6,73.6,73.6
Tlaxcala,  951 310,62.5,57.8,58.7,56.3,62.6,55.8,55.2,56.1
Veracruz de Ignacio de la Llave, 5 861 424,63.6,61.5,69.3,67.4,71.4,74.0,71,67.6
Yucatán, 1 723 421,34.8,25.8,15.3,32.3,37.0,34.6,37.3,37.9
Zacatecas, 1 109 388,75.9,66.9,78.1,68.5,75.2,70.4,70.3,67.7
