Clave Entidad,Entidad federativa,Clave Municipio ,Municipio,Total,Procedentes,Improcedentes,Otro,No especificado
00,Estados Unidos Mexicanos,000,, 14 396 627, 4 949 725, 8 749 333,  681 788,  15 781
01,Aguascalientes,000,,   121,   110,   11,   0,   0
01,Aguascalientes,001,Aguascalientes,NA,NA,NA,NA,NA
01,Aguascalientes,002,Asientos,   94,   90,   4,   0,   0
01,Aguascalientes,003,Calvillo,NA,NA,NA,NA,NA
01,Aguascalientes,004,Cosío,NA,NA,NA,NA,NA
01,Aguascalientes,005,Jesús María,NA,NA,NA,NA,NA
01,Aguascalientes,006,Pabellón de Arteaga,NA,NA,NA,NA,NA
01,Aguascalientes,007,Rincón de Romos,NA,NA,NA,NA,NA
01,Aguascalientes,008,San José de Gracia,NA,NA,NA,NA,NA
01,Aguascalientes,009,Tepezalá,   27,   20,   7,   0,   0
01,Aguascalientes,010,El Llano,NA,NA,NA,NA,NA
01,Aguascalientes,011,San Francisco de los Romo,NA,NA,NA,NA,NA
02,Baja California,000,,  51 567,  26 361,-,  25 206,-
02,Baja California,001,Ensenada,-,-,-,-,-
02,Baja California,002,Mexicali,NA,NA,NA,NA,NA
02,Baja California,003,Tecate,NA,NA,NA,NA,NA
02,Baja California,004,Tijuana,-,-,-,-,-
02,Baja California,005,Playas de Rosarito,  51 567,  26 361,   0,  25 206,   0
02,Baja California,006,San Quintín,NA,NA,NA,NA,NA
03,Baja California Sur,000,,  25 304,  7 343,  8 285,  9 676,-
03,Baja California Sur,001,Comondú,  6 472,  3 347,  3 125,   0,   0
03,Baja California Sur,002,Mulegé,NA,NA,NA,NA,NA
03,Baja California Sur,003,La Paz,-,-,-,-,-
03,Baja California Sur,008,Los Cabos,  18 832,  3 996,  5 160,  9 676,   0
03,Baja California Sur,009,Loreto,NA,NA,NA,NA,NA
04,Campeche,000,,  2 302,  1 660,   642,   0,   0
04,Campeche,001,Calkiní,   725,   725,   0,   0,   0
04,Campeche,002,Campeche,NA,NA,NA,NA,NA
04,Campeche,003,Carmen,NA,NA,NA,NA,NA
04,Campeche,004,Champotón,NA,NA,NA,NA,NA
