ubicageo_c,tipoequi_a,tipoequi_d,rensnn1,sexostt,sexos1,sexos2,sexosne
1001,1,1,2,NA,NA,NA,
1001,1,2,1,25,21,4,
1001,1,3,2,NA,NA,NA,
1001,1,4,2,NA,NA,NA,
1001,1,5,2,NA,NA,NA,
1001,1,6,2,NA,NA,NA,
1001,2,7,2,NA,NA,NA,
1001,2,8,2,NA,NA,NA,
1001,2,9,1,311,237,74,
1001,2,10,2,NA,NA,NA,
1001,3,11,2,NA,NA,NA,
1001,3,12,2,NA,NA,NA,
1001,4,13,2,NA,NA,NA,
1002,1,1,2,NA,NA,NA,
1002,1,2,2,NA,NA,NA,
1002,1,3,2,NA,NA,NA,
1002,1,4,2,NA,NA,NA,
1002,1,5,2,NA,NA,NA,
1002,1,6,2,NA,NA,NA,
1002,2,7,2,NA,NA,NA,
1002,2,8,2,NA,NA,NA,
1002,2,9,1,33,26,7,
1002,2,10,2,NA,NA,NA,
1002,3,11,1,19,17,2,
1002,3,12,2,NA,NA,NA,
1002,4,13,1,37,29,8,
1003,1,1,2,NA,NA,NA,
1003,1,2,2,NA,NA,NA,
1003,1,3,2,NA,NA,NA,
1003,1,4,2,NA,NA,NA,
1003,1,5,2,NA,NA,NA,
1003,1,6,2,NA,NA,NA,
1003,2,7,2,NA,NA,NA,
1003,2,8,2,NA,NA,NA,
1003,2,9,2,NA,NA,NA,
1003,2,10,2,NA,NA,NA,
1003,3,11,2,NA,NA,NA,
1003,3,12,2,NA,NA,NA,
1003,4,13,2,NA,NA,NA,
1004,1,1,1,28,20,8,
1004,1,2,2,NA,NA,NA,
1004,1,3,2,NA,NA,NA,
1004,1,4,1,28,20,8,
1004,1,5,1,7,5,2,
1004,1,6,2,NA,NA,NA,
1004,2,7,1,28,20,8,
1004,2,8,2,NA,NA,NA,
1004,2,9,1,28,20,8,
1004,2,10,2,NA,NA,NA,
1004,3,11,1,28,20,8,
1004,3,12,2,NA,NA,NA,
1004,4,13,2,NA,NA,NA,
1005,1,1,2,NA,NA,NA,
1005,1,2,2,NA,NA,NA,
1005,1,3,2,NA,NA,NA,
1005,1,4,1,20,18,2,
1005,1,5,2,NA,NA,NA,
1005,1,6,2,NA,NA,NA,
1005,2,7,2,NA,NA,NA,
1005,2,8,2,NA,NA,NA,
1005,2,9,2,NA,NA,NA,
1005,2,10,2,NA,NA,NA,
1005,3,11,2,NA,NA,NA,
1005,3,12,2,NA,NA,NA,
1005,4,13,2,NA,NA,NA,
1006,1,1,1,57,36,21,
1006,1,2,2,NA,NA,NA,
1006,1,3,2,NA,NA,NA,
1006,1,4,1,58,37,21,
1006,1,5,1,58,37,21,
1006,1,6,2,NA,NA,NA,
1006,2,7,1,58,37,21,
1006,2,8,2,NA,NA,NA,
1006,2,9,1,58,37,21,
1006,2,10,2,NA,NA,NA,
1006,3,11,1,58,37,21,
1006,3,12,2,NA,NA,NA,
1006,4,13,2,NA,NA,NA,
1007,1,1,1,70,54,16,
1007,1,2,2,NA,NA,NA,
1007,1,3,2,NA,NA,NA,
1007,1,4,1,70,54,16,
1007,1,5,2,NA,NA,NA,
1007,1,6,2,NA,NA,NA,
1007,2,7,1,70,54,16,
1007,2,8,2,NA,NA,NA,
1007,2,9,1,70,54,16,
1007,2,10,2,NA,NA,NA,
1007,3,11,1,62,46,16,
1007,3,12,2,NA,NA,NA,
1007,4,13,2,NA,NA,NA,
1008,1,1,1,23,17,6,
1008,1,2,2,NA,NA,NA,
1008,1,3,2,NA,NA,NA,
1008,1,4,1,18,17,1,
1008,1,5,1,19,15,4,
1008,1,6,2,NA,NA,NA,
1008,2,7,1,23,17,6,
1008,2,8,2,NA,NA,NA,
1008,2,9,1,23,17,6,
1008,2,10,2,NA,NA,NA,
1008,3,11,1,23,17,6,
1008,3,12,2,NA,NA,NA,
1008,4,13,2,NA,NA,NA,
1009,1,1,1,26,22,4,
1009,1,2,2,NA,NA,NA,
1009,1,3,2,NA,NA,NA,
1009,1,4,1,26,22,4,
1009,1,5,1,4,4,0,
1009,1,6,2,NA,NA,NA,
1009,2,7,1,26,22,4,
1009,2,8,2,NA,NA,NA,
1009,2,9,1,26,22,4,
1009,2,10,2,NA,NA,NA,
1009,3,11,1,26,22,4,
