ubicageo_c,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
1001,534425807.9,171834436.8,73857376.97,2277750,107240098.2,0,0,0,0,
1002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1003,37904981.88,7237521.95,2313589.32,449830.1,2015918.96,1395600,0,0,0,
1004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1005,45930889.55,11733407.85,12728039.26,240000,16060803.24,0,0,1248297.86,0,
1006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1008,3947097.37,1377803.31,626059.45,0,0,0,0,0,0,
1009,0,0,1000063.57,0,1000063,0,0,0,0,
1010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
1011,28460610,13214,5299598,0,3924387,0,0,0,0,
2001,477114231.3,63879743.67,10345902.06,116618.97,NSS,NSS,0,0,0,
2002,876557207.1,81921333.28,38598199.12,0,3250745.19,0,0,0,0,
2003,71747431.91,9933381.35,2202549.08,0,5582286.76,0,0,0,0,
2004,1129378196,260257143,193021197,281538,132091019,0,0,0,0,
2005,129137493.5,15645567.59,3352285.08,0,13264450.52,0,0,0,0,
2006,0,0,0,0,0,0,0,0,0,
3001,0,0,5108737.55,0,4576806.56,0,0,0,0,1533960
3002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
3003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,10431138.16
3008,229281838.3,67299123.46,97552548.27,0,11475273.54,0,0,0,0,
3009,27731199,5724900,626450,0,0,0,0,0,0,
4001,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,3155515.96
4002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4003,69422428,15080544,8931480,0,6864190,0,0,0,435652,
4004,0,0,33834468,0,0,0,0,0,0,
4005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4006,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4007,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4008,0,624000,50000,0,0,0,0,0,0,
4009,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
4011,6434008.53,444412.91,50255.99,0,5359,0,0,0,0,
5001,2023062,309069.2,88336.26,0,0,0,0,0,0,2000
5002,37296662.69,10447451.45,3988190.57,746980,4812697.48,0,0,0,0,
5003,1844453.6,334577.29,481160.79,13500,19799.99,0,0,0,0,
5004,10879666.64,4624958.48,8307816.77,75553.02,2402126.44,661838.61,0,0,0,
5005,1165076,581534.91,1094105.8,0,0,0,0,0,0,
5006,5217906.11,2491333.27,9767299.4,821605.48,10399,0,0,0,0,
5007,3555536.85,864058.01,426659.82,0,56830.56,0,0,0,0,
5008,ND,ND,ND,ND,ND,ND,ND,ND,ND,
5009,17846470.38,2945208.63,548287.67,0,139200,0,0,0,0,
5010,35227565.25,6205523.11,5001478.53,10628,2200995.7,0,0,0,0,
5011,2653069.99,865712.62,838573.83,0,478745.81,0,0,0,0,
5012,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5013,ND,ND,ND,ND,ND,ND,ND,ND,ND,
5014,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5015,ND,ND,ND,ND,ND,ND,ND,ND,ND,
5016,1816978.88,462871.65,69094.6,0,0,0,0,0,0,
5017,36644213.96,14801129.96,7372100.01,0,2981724.56,1398869.97,0,0,0,
5018,60213415.74,13313068.43,9009668.95,10170,7605693.5,0,0,0,0,
5019,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
5020,9615547.63,2867930.99,1441699.69,0,713400,620225.58,0,0,0,
5021,1667472.23,514003.09,84389.8,0,0,0,0,0,0,
5022,10237012.4,4221935.31,1935586.1,34549.52,1994439.9,0,0,0,0,
5023,3818838.73,2098718.16,331951.48,0,13022.01,0,0,0,0,
5024,10792589.69,3403700.48,1140126.42,419667,3567000,0,0,0,0,
5025,2504299.88,4907707.12,2804560,522000,6232304.25,0,0,0,0,
5026,ND,ND,ND,ND,ND,ND,ND,ND,ND,
5027,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,77602931.21
5028,12601985.94,6622599.68,1159883.29,199292,790319.16,0,0,0,0,
5029,2346218.6,523068.64,0,0,0,0,0,0,0,94955.39
5030,392237093.3,116544089.4,92403375.98,4461393.12,24885199.23,0,0,0,0,
5031,4299833.07,2117126.41,7999258.17,554833.4,18296,0,0,0,0,2
5032,NSS,NSS,NSS,0,NSS,0,0,0,0,10938867.95
5033,24162089.72,9719535.49,4111531.16,243000,8846560.89,0,0,0,0,
5034,3165286,628625,290903,0,385000,0,0,0,0,
5035,187671421.4,52473732.82,39773625.19,2956500,20574117.6,0,0,0,0,
5036,2496723,2029479,41348,0,1396000,0,0,0,0,
5037,3212589,2173892.33,2777899.26,0,0,0,0,0,0,
5038,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
6001,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
6002,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
6003,13500791.65,0,0,0,0,0,0,0,0,
6004,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
6005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
6006,8945057.98,1144318.88,112187.94,0,55274,0,0,0,0,
6007,165518911.8,24939210.47,2901016.99,3627078.79,11634671.12,0,0,0,0,
6008,6661324.96,0,0,0,0,0,0,0,0,
6009,71560595.13,12118618.92,1956855.78,0,12732957.22,0,0,0,0,
6010,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7001,2994055.56,850834.4,610732.67,0,50587.6,0,0,0,0,
7002,2572920.5,787250,229796.8,104999.99,0,0,0,0,0,
7003,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,7714885.36
7004,5538091.48,988841.4,510250.54,0,1255425.26,0,0,1101585.94,0,
7005,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,2525321.65
7006,4764528.86,0,0,0,0,0,0,0,0,
7007,1224000,194400,0,0,650000,0,0,0,0,
7008,6723598.01,498000,547785.19,0,625230.8,0,0,0,0,
7009,0,70000,4969810,4778,446000,2329256,145112,0,0,
7010,1362536,1522061.28,992399.44,657402.88,0,845764.4,0,0,0,
7011,1824400,310675.84,190304.8,0,0,0,0,0,0,
7012,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,24706994.99
7013,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,25125384
7014,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,6451615.41
7015,8855200.1,2667316.44,915525.21,0,0,0,0,0,0,
7016,1605559.65,578055.45,596384.9,0,0,0,0,0,0,
7017,13301748,6911416,1654151,0,0,0,0,4586967,0,
7018,1912800,0,743240.72,0,533190,0,0,0,0,
7019,39976910.47,4920568.75,2059314.39,0,480047.44,0,0,0,0,
7020,5606232.75,2293500.43,162833.75,0,617937.2,0,0,0,0,
7021,4402663.18,1383871.11,524619.89,1961443.66,0,0,0,0,0,
7022,6755000,812074.32,0,0,0,0,0,0,0,
7023,14193620,756043.07,118256.93,0,0,0,0,0,0,
7024,2777334,740256.71,76320,0,0,0,0,0,0,
7025,1656723.45,945765.76,222846.31,0,0,0,0,0,0,
7026,27046868.58,29311115.85,3400987.07,50196636.57,668900,171616877.5,0,0,0,
7027,31736681.74,3945400,1994523.33,0,0,0,0,0,0,
7028,1823000,534987,217890.23,660421.03,0,998765.74,0,0,0,
7029,2326436.24,220714.07,303083.98,564236.95,175172.76,0,0,0,0,
7030,4616043.53,1397695.01,439059.45,0,0,0,0,0,0,
7031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,37475453.02
7032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,8124201.95
7033,1109021.36,532622.98,56547,0,0,685438.86,0,0,0,
7034,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,12414299.58
7035,3203489.7,2000000,0,0,0,0,0,0,0,
7036,1137075.8,385800.54,183444.96,0,0,0,0,0,0,
7037,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7038,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4692847.1
7039,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,9538730.95
7040,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7041,3553427.43,5361563.05,1328379.96,0,2170929.14,0,0,0,0,
7042,1690737.58,540118.68,222846.31,71137.06,0,4881.33,0,0,0,
7043,2018757,453650.37,49381.87,0,0,0,0,0,0,
7044,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,19526244
7045,1453829.01,496568.6,251627.65,0,0,0,0,0,0,
7046,142000,158000,159000,141000,90000,210000,0,0,0,
7047,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,14793660
7048,5410229.72,1458620.08,1386321.04,0,715923.81,0,0,0,0,
7049,3766821.48,689746.42,31158,0,0,0,0,0,0,
7050,1395031.86,659284.61,133836.16,450539.36,0,0,0,0,0,
7051,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,17076210
7052,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,29932602.68
7053,0,0,0,0,0,0,5577600,0,0,
7054,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
7055,1305524.79,500643,0,0,0,0,0,0,0,
7056,3682000,963401.66,172280,0,0,0,0,0,0,
7057,6874608.19,8000000,10000000,0,0,0,0,0,0,
7058,1146860,550000,351037.2,0,0,0,0,0,0,
7059,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,78128253.22
7060,3955200,850000.3,373154.41,0,470045,0,0,0,0,
7061,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,27021251.76
7062,3828189.32,1299027.08,232498.48,0,0,0,0,0,0,
7063,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,2558741.18
7064,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4457868.87
7065,30540705.05,13315080,3052004.8,0,0,0,0,0,0,
7066,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,6452736.94
7067,1881757,2201167.14,777729.9,0,0,0,0,0,0,
7068,7398465.59,2736406.46,0,0,0,0,0,0,0,
7069,6070000,1200000,980000,0,1950000,0,0,0,0,
7070,2928177.51,0,113170.58,0,0,0,0,0,0,
7071,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,12062025.42
7072,1941456.61,840932.14,1431970,0,45448,0,0,0,0,
7073,2010462.15,152289.84,431720.99,0,746534.98,138984.4,0,0,0,
7074,12725142.78,7320611.73,70700,0,0,0,0,0,0,
7075,1934302.76,914030.78,1510900.76,0,0,266520,1517658.8,714000,0,
7076,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,7204014.66
7077,5862141.6,1925349.31,1717971.05,0,17632,0,0,0,0,
7078,71045403.73,31975792.96,1100233.13,2880000.04,745034,0,0,0,0,
7079,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,10520432.82
7080,2622661.1,1718295.2,180873.33,0,0,0,0,0,0,
7081,0,0,0,0,0,0,0,0,0,
