Clave,Entidad federativa,Código,Nivel de escolaridad,Total
00,Estados Unidos Mexicanos,0,Total,  221 281
00,Estados Unidos Mexicanos,1,Ninguno, 1 032
00,Estados Unidos Mexicanos,2,Preescolar o primaria, 3 453
00,Estados Unidos Mexicanos,3,Secundaria, 62 364
00,Estados Unidos Mexicanos,4,Preparatoria, 109 907
00,Estados Unidos Mexicanos,5,Carrera técnica o carrera comercial, 10 547
00,Estados Unidos Mexicanos,6,Licenciatura, 32 010
00,Estados Unidos Mexicanos,7,Maestría, 1 822
00,Estados Unidos Mexicanos,8,Doctorado,  101
00,Estados Unidos Mexicanos,99,No especificado,  45
01,Aguascalientes,0,Total,  784
01,Aguascalientes,1,Ninguno,  0
01,Aguascalientes,2,Preescolar o primaria,  0
01,Aguascalientes,3,Secundaria,  6
01,Aguascalientes,4,Preparatoria,  528
01,Aguascalientes,5,Carrera técnica o carrera comercial,  90
01,Aguascalientes,6,Licenciatura,  159
01,Aguascalientes,7,Maestría,  1
01,Aguascalientes,8,Doctorado,  0
02,Baja California,0,Total,  950
02,Baja California,1,Ninguno,  0
02,Baja California,2,Preescolar o primaria,  1
02,Baja California,3,Secundaria,  129
02,Baja California,4,Preparatoria,  186
02,Baja California,5,Carrera técnica o carrera comercial,  25
02,Baja California,6,Licenciatura,  608
02,Baja California,7,Maestría,  1
02,Baja California,8,Doctorado,  0
03,Baja California Sur,0,Total,  975
03,Baja California Sur,1,Ninguno,  1
03,Baja California Sur,2,Preescolar o primaria,  10
03,Baja California Sur,3,Secundaria,  126
03,Baja California Sur,4,Preparatoria,  387
03,Baja California Sur,5,Carrera técnica o carrera comercial,  27
03,Baja California Sur,6,Licenciatura,  370
03,Baja California Sur,7,Maestría,  4
03,Baja California Sur,8,Doctorado,  5
03,Baja California Sur,99,No especificado,  45
04,Campeche,0,Total, 1 985
04,Campeche,1,Ninguno,  0
04,Campeche,2,Preescolar o primaria,  9
04,Campeche,3,Secundaria,  55
04,Campeche,4,Preparatoria, 1 697
04,Campeche,5,Carrera técnica o carrera comercial,  17
04,Campeche,6,Licenciatura,  205
04,Campeche,7,Maestría,  2
04,Campeche,8,Doctorado,  0
05,Coahuila de Zaragoza,0,Total, 2 130
05,Coahuila de Zaragoza,1,Ninguno,  0
05,Coahuila de Zaragoza,2,Preescolar o primaria,  10
05,Coahuila de Zaragoza,3,Secundaria,  375
05,Coahuila de Zaragoza,4,Preparatoria, 1 331
05,Coahuila de Zaragoza,5,Carrera técnica o carrera comercial,  125
05,Coahuila de Zaragoza,6,Licenciatura,  277
05,Coahuila de Zaragoza,7,Maestría,  12
05,Coahuila de Zaragoza,8,Doctorado,  0
06,Colima,0,Total,  679
06,Colima,1,Ninguno,  0
06,Colima,2,Preescolar o primaria,  2
06,Colima,3,Secundaria,  110
06,Colima,4,Preparatoria,  419
06,Colima,5,Carrera técnica o carrera comercial,  12
06,Colima,6,Licenciatura,  133
06,Colima,7,Maestría,  3
06,Colima,8,Doctorado,  0
07,Chiapas,0,Total, 7 017
07,Chiapas,1,Ninguno,  164
07,Chiapas,2,Preescolar o primaria, 1 031
07,Chiapas,3,Secundaria, 2 280
07,Chiapas,4,Preparatoria, 2 135
07,Chiapas,5,Carrera técnica o carrera comercial,  22
07,Chiapas,6,Licenciatura, 1 359
07,Chiapas,7,Maestría,  24
07,Chiapas,8,Doctorado,  2
08,Chihuahua,0,Total, 2 395
08,Chihuahua,1,Ninguno,  0
08,Chihuahua,2,Preescolar o primaria,  6
08,Chihuahua,3,Secundaria,  179
08,Chihuahua,4,Preparatoria, 1 354
08,Chihuahua,5,Carrera técnica o carrera comercial,  37
08,Chihuahua,6,Licenciatura,  766
08,Chihuahua,7,Maestría,  51
08,Chihuahua,8,Doctorado,  2
09,Ciudad de MéxicoP,0,Total, 88 386
09,Ciudad de MéxicoP,1,Ninguno,  2
09,Ciudad de MéxicoP,2,Preescolar o primaria,  640
09,Ciudad de MéxicoP,3,Secundaria, 32 652
09,Ciudad de MéxicoP,4,Preparatoria, 47 530
09,Ciudad de MéxicoP,5,Carrera técnica o carrera comercial, 1 293
09,Ciudad de MéxicoP,6,Licenciatura, 5 852
09,Ciudad de MéxicoP,7,Maestría,  389
09,Ciudad de MéxicoP,8,Doctorado,  28
10,Durango,0,Total, 1 456
10,Durango,1,Ninguno,  0
10,Durango,2,Preescolar o primaria,  7
10,Durango,3,Secundaria,  194
10,Durango,4,Preparatoria,  696
10,Durango,5,Carrera técnica o carrera comercial,  34
10,Durango,6,Licenciatura,  515
10,Durango,7,Maestría,  8
10,Durango,8,Doctorado,  2
11,Guanajuato,0,Total, 4 152
