entidad,Delito informático,tasa_ocurrencia
Estados Unidos Mexicanos,Extorsión, 1 744
Estados Unidos Mexicanos,Robo/asalto de bienes o dinero2, 1 189
Estados Unidos Mexicanos,Robo hormiga,  776
Estados Unidos Mexicanos,Actos de corrupción,  653
Estados Unidos Mexicanos,Fraude3,  614
Estados Unidos Mexicanos,Robo de mercancía en tránsito,  438
Estados Unidos Mexicanos,Robo total o parcial de vehículo4,  396
Estados Unidos Mexicanos,"Daños a instalaciones, maquinaria o equipo",  116
Estados Unidos Mexicanos,Otros delitos5,  107
Aguascalientes,Robo/asalto de bienes o dinero2, 1 114
Aguascalientes,Robo hormiga,  798
Aguascalientes,Extorsión,  699
Aguascalientes,Fraude3,  517
Aguascalientes,"Daños a instalaciones, maquinaria o equipo",  514
Aguascalientes,Actos de corrupción,  488
Aguascalientes,Robo total o parcial de vehículo4,  421
Aguascalientes,Robo de mercancía en tránsito,  335
Baja California,Extorsión, 2 110
Baja California,Robo/asalto de bienes o dinero2, 1 571
Baja California,Robo hormiga,  862
Baja California,Actos de corrupción,  723
Baja California,Robo de mercancía en tránsito,  441
Baja California,Robo total o parcial de vehículo4,  418
Baja California,"Daños a instalaciones, maquinaria o equipo",  412
Baja California,Fraude3,  247
Baja California Sur,Extorsión, 3 424
Baja California Sur,Robo/asalto de bienes o dinero2, 1 611
Baja California Sur,Robo hormiga,  845
Baja California Sur,Actos de corrupción,  701
Baja California Sur,Robo de mercancía en tránsito,  372
Baja California Sur,Fraude3,  229
Baja California Sur,Robo total o parcial de vehículo4,  225
Baja California Sur,Delito informático,  42
Campeche,Extorsión, 1 077
Campeche,Robo/asalto de bienes o dinero2, 1 058
Campeche,Robo hormiga,  859
Campeche,Fraude3,  429
Campeche,Robo total o parcial de vehículo4,  325
Campeche,Actos de corrupción,  309
Campeche,Robo de mercancía en tránsito,  296
Campeche,"Daños a instalaciones, maquinaria o equipo",  219
Coahuila de Zaragoza,Robo/asalto de bienes o dinero2, 1 032
Coahuila de Zaragoza,Extorsión,  707
Coahuila de Zaragoza,Actos de corrupción,  678
Coahuila de Zaragoza,Robo hormiga,  612
Coahuila de Zaragoza,Robo de mercancía en tránsito,  565
Coahuila de Zaragoza,Robo total o parcial de vehículo4,  282
Coahuila de Zaragoza,"Daños a instalaciones, maquinaria o equipo",  148
Coahuila de Zaragoza,Delito informático,  108
Colima,Fraude3, 3 176
Colima,Extorsión, 2 914
Colima,Robo total o parcial de vehículo4, 2 268
Colima,Robo/asalto de bienes o dinero2, 1 492
Colima,Robo hormiga, 1 002
Colima,Actos de corrupción,  432
Colima,"Daños a instalaciones, maquinaria o equipo",  354
Colima,Robo de mercancía en tránsito,  333
Chiapas,Extorsión,  635
Chiapas,Robo/asalto de bienes o dinero2,  624
Chiapas,Robo hormiga,  516
Chiapas,Actos de corrupción,  343
Chiapas,Robo de mercancía en tránsito,  262
Chiapas,Fraude3,  203
Chiapas,Robo total o parcial de vehículo4,  202
Chiapas,Delito informático,  37
