entidad,Comercio,Industria,Servicios
Estados Unidos Mexicanos,2779.51,1944.42,2266.67
Aguascalientes,3681.06,2405.41,2118.20
Baja California,3521.74,2273.57,2854.93
Baja California Sur,2566.39,2627.04,2619.16
Campeche,3052.20,1574.85,2135.39
Coahuila de Zaragoza,2210.25,1539.08,1889.22
Colima,3316.49,3883.22,3203.47
Chiapas,1926.96,891.34,1557.93
Chihuahua,2561.04,2633.24,1646.42
Ciudad de México,4191.04,3105.80,3058.12
Durango,4133.10,3407.00,2806.33
Guanajuato,2525.67,2878.30,2722.78
Guerrero,2039.89,954.04,2583.55
Hidalgo,3084.17,1260.31,2803.63
Jalisco,1782.17,1693.57,1291.94
Estado de México,2403.11,2150.26,2544.18
Michoacán de Ocampo,2505.79,1988.27,1659.17
Morelos,3013.95,1477.17,2120.52
Nayarit,2341.76,1796.13,1956.31
Nuevo León,3281.22,2510.44,1705.41
Oaxaca,2643.85,1424.45,2015.52
Puebla,3091.47,2088.28,2194.48
Querétaro,3143.78,3101.04,3328.76
Quintana Roo,2536.79,2036.75,2207.01
San Luis Potosí,3524.06,3362.08,3055.37
Sinaloa,2960.45,2368.08,2488.05
Sonora,4418.72,2040.20,3520.44
Tabasco,2676.92,1743.22,1758.50
Tamaulipas,1788.59,1779.39,1487.51
Tlaxcala,3801.90,2229.41,3048.70
Veracruz de Ignacio de la Llave,2489.39,1399.03,1863.42
Yucatán,1741.19,699.16,1232.75
Zacatecas,3138.48,2357.70,2991.46
